品种,单位,菜篮子价,康瑞达价,日期,上传时间
攸县香干,元/公斤,,10.5,2024-12-25,2024-12-26 23:08:37
油豆干 ,元/公斤,,13,2024-12-25,2024-12-26 23:08:37
油面筋,元/公斤,,23,2024-12-25,2024-12-26 23:08:37
豆腐串,元/串,,1.2,2024-12-25,2024-12-26 23:08:37
萝卜条,元/公斤,,9.23,2024-12-25,2024-12-26 23:08:37
咸菜,元/公斤,,9.23,2024-12-25,2024-12-26 23:08:37
雪里红,元/公斤,,8.09,2024-12-25,2024-12-26 23:08:37
酸豆角,元/公斤,,9.84,2024-12-25,2024-12-26 23:08:37
梅菜,元/公斤,,10,2024-12-25,2024-12-26 23:08:37
榨菜,元/公斤,,6.14,2024-12-25,2024-12-26 23:08:37
榨菜丝,元/公斤,,6.14,2024-12-25,2024-12-26 23:08:37
泡椒,元/公斤,,7,2024-12-25,2024-12-26 23:08:37
绿豆,元/公斤,,15,2024-12-25,2024-12-26 23:08:37
花生米,元/公斤,,15,2024-12-25,2024-12-26 23:08:37
红腰豆,元/公斤,,18,2024-12-25,2024-12-26 23:08:37
黑木耳,元/公斤,,56,2024-12-25,2024-12-26 23:08:37
干剑花,元/公斤,,65,2024-12-25,2024-12-26 23:08:37
无芯红莲,元/公斤,,53,2024-12-25,2024-12-26 23:08:37
红枣,元/公斤,,24,2024-12-25,2024-12-26 23:08:37
黄花,元/公斤,,65,2024-12-25,2024-12-26 23:08:37
南瓜仁,元/公斤,,62,2024-12-25,2024-12-26 23:08:37
南北杏仁,元/公斤,,55,2024-12-25,2024-12-26 23:08:37
干提子,元/公斤,,34,2024-12-25,2024-12-26 23:08:37
干虾米（小）,元/公斤,,115,2024-12-25,2024-12-26 23:08:37
干虾仁（大）,元/公斤,,166,2024-12-25,2024-12-26 23:08:37
虾皮,元/公斤,,58,2024-12-25,2024-12-26 23:08:37
干豆角,元/公斤,,44,2024-12-25,2024-12-26 23:08:37
笋干,元/公斤,,65,2024-12-25,2024-12-26 23:08:37
干虫草花,元/公斤,,105,2024-12-25,2024-12-26 23:08:37
花旗参,元/公斤,,250,2024-12-25,2024-12-26 23:08:37
桂皮,元/公斤,,26,2024-12-25,2024-12-26 23:08:37
银华贡米,元/公斤,,6.2,2024-12-25,2024-12-26 23:08:37
20L福掌柜大豆油（非转基因）,箱,,317,2024-12-25,2024-12-26 23:08:37
20L聚美味大豆油（一般）,箱,,242,2024-12-25,2024-12-26 23:08:37
矮脚白菜(奶白菜）,元/公斤,11,9.02,2024-12-25,2024-12-26 23:08:37
大芥菜,元/公斤,7.73,6.33,2024-12-25,2024-12-26 23:08:37
菠菜,元/公斤,11.78,9.65,2024-12-25,2024-12-26 23:08:37
西洋菜,元/公斤,9,7.38,2024-12-25,2024-12-26 23:08:37
红萝卜,元/公斤,6.22,5.1,2024-12-25,2024-12-26 23:08:37
西兰花,元/公斤,11.11,9.11,2024-12-25,2024-12-26 23:08:37
青瓜（黄瓜）,元/公斤,8.58,7.03,2024-12-25,2024-12-26 23:08:37
白豆角,元/公斤,12.89,10.56,2024-12-25,2024-12-26 23:08:37
西芹（一般）,元/公斤,9.33,7.65,2024-12-25,2024-12-26 23:08:37
大蒜（蒜苗）,元/公斤,13.63,11.17,2024-12-25,2024-12-26 23:08:37
丝瓜,元/公斤,12.44,10.2,2024-12-25,2024-12-26 23:08:37
圆椒,元/公斤,10.75,8.81,2024-12-25,2024-12-26 23:08:37
小豆芽菜（绿豆芽）,元/公斤,5.13,4.2,2024-12-25,2024-12-26 23:08:37
大肉姜(生姜),元/公斤,19.22,15.76,2024-12-25,2024-12-26 23:08:37
玉米粒,元/公斤,,8,2024-12-25,2024-12-26 23:08:37
沙葛,元/公斤,,8,2024-12-25,2024-12-26 23:08:37
佛手瓜,元/公斤,,8,2024-12-25,2024-12-26 23:08:37
长节瓜,元/公斤,,4.2,2024-12-25,2024-12-26 23:08:37
小葱（白）,元/公斤,,18,2024-12-25,2024-12-26 23:08:37
葱（红）,元/公斤,,18,2024-12-25,2024-12-26 23:08:37
沙姜,元/公斤,,22,2024-12-25,2024-12-26 23:08:37
红米椒,元/公斤,,14,2024-12-25,2024-12-26 23:08:37
青紫苏,元/公斤,,13,2024-12-25,2024-12-26 23:08:37
铁棍淮山,元/公斤,,20,2024-12-25,2024-12-26 23:08:37
本地黄肉姜,元/公斤,,14,2024-12-25,2024-12-26 23:08:37
番薯叶,元/公斤,,10,2024-12-25,2024-12-26 23:08:37
杞枸叶,元/公斤,,16,2024-12-25,2024-12-26 23:08:37
去皮沙葛,元/公斤,,10,2024-12-25,2024-12-26 23:08:37
芦笋,元/公斤,,50,2024-12-25,2024-12-26 23:08:37
番茜,元/公斤,,20,2024-12-25,2024-12-26 23:08:37
白菜心（水白心）,元/公斤,,8,2024-12-25,2024-12-26 23:08:37
红菜心,元/公斤,,19,2024-12-25,2024-12-26 23:08:37
草菇,元/公斤,,46,2024-12-25,2024-12-26 23:08:37
姬菇,元/公斤,,20,2024-12-25,2024-12-26 23:08:37
萍菇,元/公斤,,8,2024-12-25,2024-12-26 23:08:37
鲜蘑菇,元/公斤,,23,2024-12-25,2024-12-26 23:08:37
紫罗兰(兰花),元/公斤,,60,2024-12-25,2024-12-26 23:08:37
香梨3个/斤,元/公斤,,17,2024-12-25,2024-12-26 23:08:37
国产红提（无核）,元/公斤,,29,2024-12-25,2024-12-26 23:08:37
西瓜（黑美人）,元/公斤,,8,2024-12-25,2024-12-26 23:08:37
西瓜（麒麟）,元/公斤,,11,2024-12-25,2024-12-26 23:08:37
哈蜜瓜（青）,元/公斤,,11.6,2024-12-25,2024-12-26 23:08:37
皇帝柑,元/公斤,,10,2024-12-25,2024-12-26 23:08:37
番石榴,元/公斤,,10,2024-12-25,2024-12-26 23:08:37
冰糖橙,元/公斤,,10,2024-12-25,2024-12-26 23:08:37
冻鸡翼,元/公斤,42.67,34.98,2024-12-25,2024-12-26 23:08:37
冻黄花鱼(黄鱼),元/公斤,48,39.36,2024-12-25,2024-12-26 23:08:37
双汇火腿三文治1kg,条,,31,2024-12-25,2024-12-26 23:08:37
黄鳝,元/公斤,69,56.58,2024-12-25,2024-12-26 23:08:37
原条鳙鱼(花鲢、胖头鱼),元/公斤,20.67,16.94,2024-12-25,2024-12-26 23:08:37
鲫鱼,元/公斤,29.71,24.36,2024-12-25,2024-12-26 23:08:37
靓鱼胶,元/公斤,,22,2024-12-25,2024-12-26 23:08:37
桂花鱼,元/公斤,,148,2024-12-25,2024-12-26 23:08:37
大鱼肉,元/公斤,,16,2024-12-25,2024-12-26 23:08:37
黄骨鱼（杀）,元/公斤,,66,2024-12-25,2024-12-26 23:08:37
剥皮牛（16条/斤）（净）,元/公斤,,176,2024-12-25,2024-12-26 23:08:37
剥皮牛（1条/斤）（净）,元/公斤,,102,2024-12-25,2024-12-26 23:08:37
白仓鱼6条/斤（净）,元/公斤,,80,2024-12-25,2024-12-26 23:08:37
有皮上肉（带皮后腿肉）,元/公斤,36.4,29.84,2024-12-25,2024-12-26 23:08:37
鲜牛肉,元/公斤,101.56,83.27,2024-12-25,2024-12-26 23:08:37
猪红,元/公斤,,6,2024-12-25,2024-12-26 23:08:37
猪手,元/公斤,,40,2024-12-25,2024-12-26 23:08:37
扇骨（脊骨）,元/公斤,,32,2024-12-25,2024-12-26 23:08:37
猪尾（短尾）,元/公斤,,34,2024-12-25,2024-12-26 23:08:37
猪大展,元/公斤,,38,2024-12-25,2024-12-26 23:08:37
猪小展,元/公斤,,54,2024-12-25,2024-12-26 23:08:37
圆蹄,元/公斤,,40,2024-12-25,2024-12-26 23:08:37
光鹅,元/公斤,,50,2024-12-25,2024-12-26 23:08:37
番鸭（光）,元/公斤,,28,2024-12-25,2024-12-26 23:08:37
麻鸭（光）,元/公斤,,32,2024-12-25,2024-12-26 23:08:37
牛肠,元/公斤,,40,2024-12-25,2024-12-26 23:08:37
牛肺,元/个,,59,2024-12-25,2024-12-26 23:08:37
羊肉（无杂）,元/公斤,,100,2024-12-25,2024-12-26 23:08:37
羊排（无杂）,元/公斤,,120,2024-12-25,2024-12-26 23:08:37
布拉肠粉,元/公斤,,4.6,2024-12-25,2024-12-26 23:08:37
陈村粉,元/公斤,,4.6,2024-12-25,2024-12-26 23:08:37
猪肠粉,元/公斤,,4.6,2024-12-25,2024-12-26 23:08:37
魔芋豆腐,元/公斤,,3,2024-12-25,2024-12-26 23:08:37
刀削面,元/公斤,,8.6,2024-12-25,2024-12-26 23:08:37
新鲜米线,元/公斤,,4.6,2024-12-25,2024-12-26 23:08:37
大馄饨皮,元/公斤,,9.4,2024-12-25,2024-12-26 23:08:37
水饺皮,元/公斤,,9.4,2024-12-25,2024-12-26 23:08:37
手工春卷皮,元/公斤,,30.6,2024-12-25,2024-12-26 23:08:37
拉面,元/公斤,,9.4,2024-12-25,2024-12-26 23:08:37
普通粗切面,元/公斤,,9.4,2024-12-25,2024-12-26 23:08:37
普通细切面,元/公斤,,9.4,2024-12-25,2024-12-26 23:08:37
新鲜河粉,元/公斤,,4.6,2024-12-25,2024-12-26 23:08:37
酸笋条,元/公斤,,10,2024-12-25,2024-12-26 23:08:37
辣三鲜,元/公斤,,9,2024-12-25,2024-12-26 23:08:37
大头菜,元/公斤,,9,2024-12-25,2024-12-26 23:08:37
咸酸菜,元/公斤,,9.5,2024-12-25,2024-12-26 23:08:37
酸豆角,元/公斤,,7.5,2024-12-25,2024-12-26 23:08:37
萝卜脯,元/公斤,,12,2024-12-25,2024-12-26 23:08:37
红油萝卜丁,元/公斤,,13.33,2024-12-25,2024-12-26 23:08:37
红豆(红小豆）,元/公斤,,20,2024-12-25,2024-12-26 23:08:37
玉米粉,元/公斤,,6,2024-12-25,2024-12-26 23:08:37
红米,元/公斤,,14,2024-12-25,2024-12-26 23:08:37
云耳,元/公斤,,120,2024-12-25,2024-12-26 23:08:37
腐竹,元/公斤,,32,2024-12-25,2024-12-26 23:08:37
小麦,元/公斤,,6,2024-12-25,2024-12-26 23:08:37
白菜干（靓）,元/公斤,,44,2024-12-25,2024-12-26 23:08:37
粉丝,元/公斤,,10,2024-12-25,2024-12-26 23:08:37
糯米,元/公斤,,10,2024-12-25,2024-12-26 23:08:37
陈皮,元/公斤,,72,2024-12-25,2024-12-26 23:08:37
白芝麻,元/公斤,,22,2024-12-25,2024-12-26 23:08:37
无花果,元/公斤,,56,2024-12-25,2024-12-26 23:08:37
小米,元/公斤,,12,2024-12-25,2024-12-26 23:08:37
桃胶,元/公斤,,84,2024-12-25,2024-12-26 23:08:37
荷叶,元/公斤,,36,2024-12-25,2024-12-26 23:08:37
八角,元/公斤,,96,2024-12-25,2024-12-26 23:08:37
辣椒干,元/公斤,,28,2024-12-25,2024-12-26 23:08:37
,元/公斤,,,2024-12-25,2024-12-26 23:08:37
嘉粮香丝苗米15kg/包,包,,104,2024-12-25,2024-12-26 23:08:37
20L鼎皇植物调和油,箱,,265,2024-12-25,2024-12-26 23:08:37
20L福掌柜转基因油1*2,箱,,265,2024-12-25,2024-12-26 23:08:37
本地白菜,元/公斤,8.67,7.1,2024-12-25,2024-12-26 23:08:37
生菜,元/公斤,8.62,7.06,2024-12-25,2024-12-26 23:08:37
油麦菜,元/公斤,8.82,7.23,2024-12-25,2024-12-26 23:08:37
西红柿,元/公斤,9.33,7.65,2024-12-25,2024-12-26 23:08:37
白萝卜,元/公斤,5,4.1,2024-12-25,2024-12-26 23:08:37
水空心菜,元/公斤,10.3,8.44,2024-12-25,2024-12-26 23:08:37
茄瓜（茄子）,元/公斤,8.82,7.23,2024-12-25,2024-12-26 23:08:37
土豆,元/公斤,6.62,5.42,2024-12-25,2024-12-26 23:08:37
莴笋,元/公斤,7.3,5.98,2024-12-25,2024-12-26 23:08:37
蒜心（蒜苔),元/公斤,17.89,14.66,2024-12-25,2024-12-26 23:08:37
苦瓜,元/公斤,9.42,7.72,2024-12-25,2024-12-26 23:08:37
青尖椒,元/公斤,9.33,7.65,2024-12-25,2024-12-26 23:08:37
韭菜,元/公斤,10.7,8.77,2024-12-25,2024-12-26 23:08:37
莲藕,元/公斤,9.93,8.14,2024-12-25,2024-12-26 23:08:37
