品种,单位,菜篮子价,康瑞达价,日期,上传时间
鸿润鸡肾8%,1*10kg/箱,,17.9,2024-12-25,2024-12-26 23:08:37
穆伊一鸡肾8%,1*10kg/箱,,14.9,2024-12-25,2024-12-26 23:08:37
鸿润鸡小肚8%,1*10kg/箱,,4.8,2024-12-25,2024-12-26 23:08:37
隆泰鸡胸肉10%,1*9kg/箱,,12.2,2024-12-25,2024-12-26 23:08:37
六和鸡胸肉8%,1*10kg/箱,,13.3,2024-12-25,2024-12-26 23:08:37
九股河鸡胸肉8%,1*10kg/箱,,13.6,2024-12-25,2024-12-26 23:08:37
九股河带皮鸡腿肉(乇乇肉)5%,1*11.4kg/箱,,18.8,2024-12-25,2024-12-26 23:08:37
刘家河鸡腿肉（乇乇肉）10%,1*12kg/箱,,18.8,2024-12-25,2024-12-26 23:08:37
鸿润鸡腿肉（乇乇肉）12%,1*12kg/箱,,17.7,2024-12-25,2024-12-26 23:08:37
隆泰鸡腿肉（乇乇肉）18%,1*11.4kg/箱,,14.6,2024-12-25,2024-12-26 23:08:37
和盛鸡腿肉（乇乇肉）18%,1*11.4kg/箱,,14.3,2024-12-25,2024-12-26 23:08:37
太合70/80去皮腿肉11%,1*11.25kg/箱,,26,2024-12-25,2024-12-26 23:08:37
九股河带骨上腿肉8%,1*9.7kg/箱,,16.3,2024-12-25,2024-12-26 23:08:37
和盛带骨上腿肉6%,1*9.7kg/箱,,14.8,2024-12-25,2024-12-26 23:08:37
鸿润3/6去皮腿肉丁8%,1*12kg/箱,,16.3,2024-12-25,2024-12-26 23:08:37
正大3/6去皮腿肉丁8%,1*12kg/箱,,15.7,2024-12-25,2024-12-26 23:08:37
圣农带皮腿小块8%,1*20kg/箱,,9.7,2024-12-25,2024-12-26 23:08:37
九股河40/50鸡翅根6%,1*10kg/箱,,16.8,2024-12-25,2024-12-26 23:08:37
九股河50/60鸡翅根6%,1*10kg/箱,,16.3,2024-12-25,2024-12-26 23:08:37
鸿润50g上鸡翅根8%,1*10kg/箱,,15,2024-12-25,2024-12-26 23:08:37
九股河60g上鸡翅根8%,1*10kg/箱,,15.7,2024-12-25,2024-12-26 23:08:37
鸿润40/50鸡翅中5%,1*10kg/箱,,46,2024-12-25,2024-12-26 23:08:37
六和M鸡翅中6%,1*10kg/箱,,43.6,2024-12-25,2024-12-26 23:08:37
九股河40/50鸡翅中6%,1*10kg/箱,,48,2024-12-25,2024-12-26 23:08:37
刘家河去尾鸡边腿(大边)6%,1*10kg/箱,,12.5,2024-12-25,2024-12-26 23:08:37
刘家河去尾鸡边腿(中边)6%,1*10kg/箱,,13.7,2024-12-25,2024-12-26 23:08:37
九股河去尾鸡边腿(中边)6%,1*10kg/箱,,13.7,2024-12-25,2024-12-26 23:08:37
鸿润中鸡尖6%,1*10kg/箱,,10.2,2024-12-25,2024-12-26 23:08:37
九股河大鸡尖6%,1*10kg/箱,,11.9,2024-12-25,2024-12-26 23:08:37
九股河30/40鸡脚6%,1*9kg/箱,,39.8,2024-12-25,2024-12-26 23:08:37
九股河40/50鸡脚6%,1*9kg/箱,,39.8,2024-12-25,2024-12-26 23:08:37
九股河35/40凤爪5%,1*9.8kg/箱,,57.2,2024-12-25,2024-12-26 23:08:37
和盛掌中宝(少肉)8%,1*10kg/箱,,53.8,2024-12-25,2024-12-26 23:08:37
六和半片鸭6%,1*9.5kg/箱,,8.7,2024-12-25,2024-12-26 23:08:37
六和鸭边腿6%,1*9.5kg/箱,,8.5,2024-12-25,2024-12-26 23:08:37
圣沣鸭边腿6%,1*10kg/箱,,8.5,2024-12-25,2024-12-26 23:08:37
圣沣鸭三节6%,1*9.8kg/箱,,10.5,2024-12-25,2024-12-26 23:08:37
圣沣L鸭二节6%,1*10kg/箱,,13.6,2024-12-25,2024-12-26 23:08:37
圣沣M鸭二节6%,1*10kg/箱,,11.9,2024-12-25,2024-12-26 23:08:37
圣沣精品鸭中翅6%,1*10kg/箱,,16.1,2024-12-25,2024-12-26 23:08:37
圣沣鸭翅根6%,1*10kg/箱,,7.3,2024-12-25,2024-12-26 23:08:37
圣沣白条鸭6%,1*13.5kg/箱,,11,2024-12-25,2024-12-26 23:08:37
圣沣白条鸭6%,1*14.1kg/箱,,11,2024-12-25,2024-12-26 23:08:37
圣沣白条鸭6%,1*14.7kg/箱,,11.1,2024-12-25,2024-12-26 23:08:37
圣沣白条鸭6%,1*15.3kg/箱,,11.1,2024-12-25,2024-12-26 23:08:37
桂柳白条鸭A6%,1*13.8kg/箱,,11,2024-12-25,2024-12-26 23:08:37
圣沣带皮鸭胸肉(修边)8%,1*10kg/箱,,11.9,2024-12-25,2024-12-26 23:08:37
圣沣去皮鸭胸肉8%,1*10kg/箱,,13.8,2024-12-25,2024-12-26 23:08:37
金鹏前排8%,1*10kg/箱,,32.2,2024-12-25,2024-12-26 23:08:37
顺发前排8%,1*10kg/箱,,32.2,2024-12-25,2024-12-26 23:08:37
发记一级排骨粒0%,1*10kg/箱,,36.1,2024-12-25,2024-12-26 23:08:37
发记二级排骨粒0%,1*10kg/箱,,26.4,2024-12-25,2024-12-26 23:08:37
万润肋排8%,1*10kg/箱,,69.6,2024-12-25,2024-12-26 23:08:37
斯坦瑞短猪尾8%,1*10kg/箱,,62.3,2024-12-25,2024-12-26 23:08:37
金鹏脊骨8%,1*10kg/箱,,19.6,2024-12-25,2024-12-26 23:08:37
金鹏带肉筒骨8%,1*10kg/箱,,15.1,2024-12-25,2024-12-26 23:08:37
超强筒骨8%,1*10kg/箱,,8.5,2024-12-25,2024-12-26 23:08:37
万润猪手8%,1*10kg/箱,,47.4,2024-12-25,2024-12-26 23:08:37
金锣猪手8%,1*10kg/箱,,47.4,2024-12-25,2024-12-26 23:08:37
万润猪圆蹄8%,1*10kg/箱,,27.3,2024-12-25,2024-12-26 23:08:37
龙大猪后肘0%,1*10kg/箱,,27.3,2024-12-25,2024-12-26 23:08:37
发记猪肘粒0%,1*10kg/箱,,26.6,2024-12-25,2024-12-26 23:08:37
发记猪手粒8%,1*10kg/箱,,27.6,2024-12-25,2024-12-26 23:08:37
金鹏1#精肉8%,1*25kg/箱,,34.2,2024-12-25,2024-12-26 23:08:37
凯泰1#精肉8%,1*25kg/箱,,34.2,2024-12-25,2024-12-26 23:08:37
扬翔3#精肉0%,1*25kg/箱,,36.3,2024-12-25,2024-12-26 23:08:37
金鹏3#精肉8%,1*25kg/箱,,36.3,2024-12-25,2024-12-26 23:08:37
扬翔4#精肉8%,1*25kg/箱,,32.4,2024-12-25,2024-12-26 23:08:37
宏达去皮上肉8%,1*25kg/箱,,24.9,2024-12-25,2024-12-26 23:08:37
新农去皮上肉8%,1*25kg/箱,,24.9,2024-12-25,2024-12-26 23:08:37
金鹏一级有皮花肉8%,1*10kg/箱,,28.7,2024-12-25,2024-12-26 23:08:37
斯坦瑞有皮花肉8%,1*25kg/箱,,34.6,2024-12-25,2024-12-26 23:08:37
金鹏带皮前上肉8%,1*10kg/箱,,17.8,2024-12-25,2024-12-26 23:08:37
鑫盛源去皮大五花8%,1*10kg/箱,,25.4,2024-12-25,2024-12-26 23:08:37
金锣去皮大五花8%,1*10kg/箱,,25.8,2024-12-25,2024-12-26 23:08:37
冠宇脊膘8%,1*25kg/箱,,13.3,2024-12-25,2024-12-26 23:08:37
万润去皮猪槽肉8%,1*25kg/箱,,13.7,2024-12-25,2024-12-26 23:08:37
万润猪耳10%,1*10kg/箱,,59.5,2024-12-25,2024-12-26 23:08:37
万润猪肚15%,1*10kg/箱,,58.8,2024-12-25,2024-12-26 23:08:37
东启带皮猪肉块0%,1*10kg/箱,,150,2024-12-25,2024-12-26 23:08:37
东启带皮猪肉片0%,1*10kg/箱,,150,2024-12-25,2024-12-26 23:08:37
东启去皮猪肉片0%,1*10kg/箱,,150,2024-12-25,2024-12-26 23:08:37
宏睿爽脆肚尖0%,1*10kg/箱,,372.7,2024-12-25,2024-12-26 23:08:37
合兴牛杂10%,1*25kg/箱,,33.9,2024-12-25,2024-12-26 23:08:37
龙跃80#牛腩8%,抄码,,56.4,2024-12-25,2024-12-26 23:08:37
龙跃90#牛腩8%,抄码,,60.6,2024-12-25,2024-12-26 23:08:37
龙跃90#牛碎肉8%,抄码,,44.2,2024-12-25,2024-12-26 23:08:37
龙跃牛霖8%,抄码,,72.6,2024-12-25,2024-12-26 23:08:37
龙跃牛肉8%,抄码,,57.5,2024-12-25,2024-12-26 23:08:37
阿根廷牛腱8%,抄码,,64.5,2024-12-25,2024-12-26 23:08:37
龙跃牛腱0%,抄码,,68.5,2024-12-25,2024-12-26 23:08:37
康厨广式牛杂8kg0%,2kg/包*4包/箱,,375.1,2024-12-25,2024-12-26 23:08:37
2号秋刀鱼5%,1*9.5kg/箱,,0,2024-12-25,2024-12-26 23:08:37
名海三去南仓鱼10%,1*6kg/箱,,20.2,2024-12-25,2024-12-26 23:08:37
石浦80/90南仓鱼10%,1*7.8kg/箱,,20,2024-12-25,2024-12-26 23:08:37
石浦90/110南仓鱼10%,1*7.8kg/箱,,26.6,2024-12-25,2024-12-26 23:08:37
福多多100/200金仓鱼20%,1*10kg/箱,,26.6,2024-12-25,2024-12-26 23:08:37
环球200/300金仓鱼15%,1*10kg/箱,,30.3,2024-12-25,2024-12-26 23:08:37
旺鑫80/100红三鱼10%,1*10kg/箱,,26,2024-12-25,2024-12-26 23:08:37
旺鑫100/150红三鱼10%,1*10kg/箱,,29.6,2024-12-25,2024-12-26 23:08:37
信豪池鱼10%,1*9.5kg/箱,,10.2,2024-12-25,2024-12-26 23:08:37
旺鑫去头池鱼10%,1*5.5kg/箱,,14.6,2024-12-25,2024-12-26 23:08:37
渔汇臻源多春鱼10%,1*5kg/箱,,26.9,2024-12-25,2024-12-26 23:08:37
闽正泥鳅鱼20%,1*5kg/箱,,14.3,2024-12-25,2024-12-26 23:08:37
旺鑫沙尖鱼10%,1*10kg/箱,,41.3,2024-12-25,2024-12-26 23:08:37
越洋鱿鱼10%,1*10kg/箱,,36.3,2024-12-25,2024-12-26 23:08:37
越洋一级鱿鱼筒10%,1*5kg/箱,,49.5,2024-12-25,2024-12-26 23:08:37
丰华蟹柳0%,2.5kg/包*6包/箱,,145.2,2024-12-25,2024-12-26 23:08:37
海欣鼓山仿蟹肉棒0%,2.5kg/包*4包/箱,,136.7,2024-12-25,2024-12-26 23:08:37
津津墨鱼花（白）0%,1.5kg/包*4包/箱,,127.1,2024-12-25,2024-12-26 23:08:37
高技鱼肉卷0%,2.5kg/包*4包/箱,,131.9,2024-12-25,2024-12-26 23:08:37
津津鱼肉卷0%,2.5kg/包*4包/箱,,135.5,2024-12-25,2024-12-26 23:08:37
津津仿鲍鱼片0%,2.5kg/包*4包/箱,,158.5,2024-12-25,2024-12-26 23:08:37
东华西式火腿0%,2.5kg/条*5条/箱,,36.7,2024-12-25,2024-12-26 23:08:37
东华三文治0%,2.8kg/条*5条/箱,,55.9,2024-12-25,2024-12-26 23:08:37
皇上皇三文治0%,2.5kg/条*5条/箱,,290.4,2024-12-25,2024-12-26 23:08:37
艾格兄弟去壳鹌鹑蛋0%,2.7kg/包*6包/箱,,181.5,2024-12-25,2024-12-26 23:08:37
海欣蟹籽宝0%,2.5kg/包*4包/箱,,261.4,2024-12-25,2024-12-26 23:08:37
罗定皱纹鱼腐0%,1*5kg/箱,,192.4,2024-12-25,2024-12-26 23:08:37
津津酿豆腐0%,2.5kg/包*4包/箱,,174.2,2024-12-25,2024-12-26 23:08:37
津津包心鱼豆腐0%,2.5kg/包*4包/箱,,154.9,2024-12-25,2024-12-26 23:08:37
津津B级鱼豆腐0%,2.5kg/包*4包/箱,,113.7,2024-12-25,2024-12-26 23:08:37
金锣珍料鱼豆腐0%,2.5kg/包*4包/箱,,154.9,2024-12-25,2024-12-26 23:08:37
安井包心鱼豆腐0%,2.5kg/包*4包/箱,,192.4,2024-12-25,2024-12-26 23:08:37
金锣珍料千叶豆腐0%,2.5kg/包*4包/箱,,92,2024-12-25,2024-12-26 23:08:37
高技日本豆腐0%,100g/支*40支/箱,,24.2,2024-12-25,2024-12-26 23:08:37
肥佬大客腐0%,2.5kg/包*6包/箱,,393.3,2024-12-25,2024-12-26 23:08:37
吉安红豆派0%,80g/条*10条*12盒/箱,,242,2024-12-25,2024-12-26 23:08:37
吉安菠萝派0%,80g/条*10条*12盒/箱,,242,2024-12-25,2024-12-26 23:08:37
吉安香芋派0%,80g/条*10条*12盒/箱,,242,2024-12-25,2024-12-26 23:08:37
麦可益汉堡包胚0%,360g/6个*24包/箱,,113.7,2024-12-25,2024-12-26 23:08:37
奥昆红豆饼0%,20个层*14层/箱,,228.7,2024-12-25,2024-12-26 23:08:37
奥昆绿豆饼0%,20个层*14层/箱,,242,2024-12-25,2024-12-26 23:08:37
六记雄原味猪肉丸0%,500g/包*20包/箱,,349.7,2024-12-25,2024-12-26 23:08:37
立笙猪肉丸0%,2.5kg/包*4包/箱,,174.2,2024-12-25,2024-12-26 23:08:37
佳业猪肉丸0%,2.5kg/包*4包/箱,,236,2024-12-25,2024-12-26 23:08:37
高技猪肉风味丸(美食)0%,2.5kg/包*4包/箱,,129.5,2024-12-25,2024-12-26 23:08:37
立笙包心贡丸0%,2.5kg/包*4包/箱,,191.2,2024-12-25,2024-12-26 23:08:37
高技包心贡丸（A）0%,2.5kg/包*4包/箱,,171.8,2024-12-25,2024-12-26 23:08:37
高技包心贡丸（B）0%,2.5kg/包*4包/箱,,163.4,2024-12-25,2024-12-26 23:08:37
立笙香菇贡丸0%,2.5kg/包*4包/箱,,174.2,2024-12-25,2024-12-26 23:08:37
佳业香菇贡丸0%,2.5kg/包*4包/箱,,238.4,2024-12-25,2024-12-26 23:08:37
津津B级香菇贡丸0%,2.5kg/包*4包/箱,,165.8,2024-12-25,2024-12-26 23:08:37
津津狮子头35g0%,2.5kg/包*4包/箱,,131.9,2024-12-25,2024-12-26 23:08:37
凤祥马蹄鸡肉狮子头0%,1*8kg/箱,,168.2,2024-12-25,2024-12-26 23:08:37
大虞海派四喜丸0%,2.5kg/包*4包/箱,,154.9,2024-12-25,2024-12-26 23:08:37
立笙牛筋丸0%,2.5kg/包*4包/箱,,186.3,2024-12-25,2024-12-26 23:08:37
千年记爽脆牛筋丸0%,2.5kg/包*4包/箱,,373.9,2024-12-25,2024-12-26 23:08:37
浩洋牛筋丸0%,2.5kg/包*4包/箱,,363,2024-12-25,2024-12-26 23:08:37
立笙牛肉丸(中)0%,2.5kg/包*4包/箱,,177.9,2024-12-25,2024-12-26 23:08:37
六记雄畅享潮汕牛肉丸12kg0%,500g/包*24包/箱,,388.4,2024-12-25,2024-12-26 23:08:37
佳业牛肉丸0%,2.5kg/包*4包/箱,,236,2024-12-25,2024-12-26 23:08:37
浩洋牛肉丸0%,2.5kg/包*4包/箱,,342.4,2024-12-25,2024-12-26 23:08:37
万壮牛肉丸0%,500g/包*20包/箱,,409,2024-12-25,2024-12-26 23:08:37
海欣脆皮玉米香肠0%,1.5kg/包*8包/箱,,217.8,2024-12-25,2024-12-26 23:08:37
金锣脆骨台式烤香肠0%,70g/条*180条/箱,,222.6,2024-12-25,2024-12-26 23:08:37
金锣原味道地肠0%,60g/支*10kg/箱,,317,2024-12-25,2024-12-26 23:08:37
金锣原味道地肠60g0%,2.5kg/包*4包/箱,,317,2024-12-25,2024-12-26 23:08:37
金锣黑椒道地肠60g0%,2.5kg/包*4包/箱,,317,2024-12-25,2024-12-26 23:08:37
金锣肠仔0%,32g/条*100条/箱,,44.8,2024-12-25,2024-12-26 23:08:37
高技桂花肠（白）0%,2.5kg/包*4包/箱,,152.5,2024-12-25,2024-12-26 23:08:37
高技腰花肠（白）0%,2.5kg/包*4包/箱,,152.5,2024-12-25,2024-12-26 23:08:37
高技原味香肠(富贵)0%,2.5kg/包*4包/箱,,199.7,2024-12-25,2024-12-26 23:08:37
高技顶好原味热狗肠0%,500g/包*20包/箱,,150,2024-12-25,2024-12-26 23:08:37
高技顶好黑胡椒热狗肠0%,500g/包*20包/箱,,150,2024-12-25,2024-12-26 23:08:37
高技海南亲亲肠0%,2.5kg/包*4包/箱,,170.6,2024-12-25,2024-12-26 23:08:37
高技顶味原味一口爽0%,2.5kg/包*4包/箱,,175.5,2024-12-25,2024-12-26 23:08:37
高技顶味黑椒一口爽0%,2.5kg/包*4包/箱,,175.5,2024-12-25,2024-12-26 23:08:37
津津原味一口肠(B)0%,2.5kg/包*4包/箱,,173,2024-12-25,2024-12-26 23:08:37
津津波波肠0%,2.5kg/包*4包/箱,,193.6,2024-12-25,2024-12-26 23:08:37
三鼎牛肚串0%,20串/包*10包/箱,,302.5,2024-12-25,2024-12-26 23:08:37
润千年五花肉串0%,20串/750g*10包/箱,,202.1,2024-12-25,2024-12-26 23:08:37
御思源牛肉串0%,30串/包*10包/箱,,236,2024-12-25,2024-12-26 23:08:37
御思源羊肉串0%,30串/包*10包/箱,,236,2024-12-25,2024-12-26 23:08:37
津津原味弹力肠0%,900g/包*10包/箱,,147.6,2024-12-25,2024-12-26 23:08:37
津津烧汁烤鱼棒0%,2.5kg/包*4包/箱,,159.7,2024-12-25,2024-12-26 23:08:37
鲁一霖脆皮年糕串0%,50g/串*200串/箱,,92,2024-12-25,2024-12-26 23:08:37
鲁一霖黄金薯塔串0%,110g/串*50串/箱,,104.1,2024-12-25,2024-12-26 23:08:37
和兴鱼皮角0%,350g/盒*30盒/箱,,605,2024-12-25,2024-12-26 23:08:37
三全菌菇三鲜蒸饺0%,960g/48个*6包/箱,,156.1,2024-12-25,2024-12-26 23:08:37
三全玉米猪肉蒸饺20g0%,960g/48个*6包/箱,,156.1,2024-12-25,2024-12-26 23:08:37
三全餐饮玉米猪肉蒸煎饺0%,1kg/包*10包/箱,,116.2,2024-12-25,2024-12-26 23:08:37
三全菌菇三鲜蒸煎饺0%,20g*50个*10包/箱,,116.2,2024-12-25,2024-12-26 23:08:37
三全韭菜猪肉蒸煎饺20g0%,1kg/包*10包/箱,,116.2,2024-12-25,2024-12-26 23:08:37
三全白菜猪肉蒸煎饺20g0%,1kg/包*10包/箱,,116.2,2024-12-25,2024-12-26 23:08:37
小馋童大油条80g0%,800g/10条*10包,,105.3,2024-12-25,2024-12-26 23:08:37
三全酥脆油条0%,800g/20条*6包/箱,,82.3,2024-12-25,2024-12-26 23:08:37
小馋童韭菜盒0%,780g/6只*12包/箱,,110.1,2024-12-25,2024-12-26 23:08:37
嘉福芋圆0%,500g/包*20包/箱,,174.2,2024-12-25,2024-12-26 23:08:37
快厨花生汤圆0%,1kg/包*10包/箱,,111.3,2024-12-25,2024-12-26 23:08:37
快厨黑芝麻汤圆0%,1kg/包*10包/箱,,111.3,2024-12-25,2024-12-26 23:08:37
三全原味手抓饼0%,3kg/25片/包*4包/箱,,105.3,2024-12-25,2024-12-26 23:08:37
三全原味手抓饼0%,80g/片*15片/包*6包/箱,,89.5,2024-12-25,2024-12-26 23:08:37
三全葱香手抓饼0%,80g/片*15片/包*6包/箱,,89.5,2024-12-25,2024-12-26 23:08:37
三全素馅春卷0%,180g/包*24包/箱,,85.9,2024-12-25,2024-12-26 23:08:37
三全香芋地瓜丸20g0%,400g/20个/包*10包/箱,,48.4,2024-12-25,2024-12-26 23:08:37
三全芝麻球22g0%,260g/包*20包/箱,,65.3,2024-12-25,2024-12-26 23:08:37
津津翡翠干蒸0%,2.5kg/包*4包/箱,,129.5,2024-12-25,2024-12-26 23:08:37
津津鲜肉干蒸0%,2.5kg/包*4包/箱,,137.9,2024-12-25,2024-12-26 23:08:37
津津糯米烧卖0%,2.5kg/包*4包/箱,,134.3,2024-12-25,2024-12-26 23:08:37
齐善新滋味素排骨0%,200g/包*20包/箱,,199.7,2024-12-25,2024-12-26 23:08:37
齐善香辣素肉丝酱0%,500g/包*20包/箱,,263.8,2024-12-25,2024-12-26 23:08:37
齐善素叉烧0%,200g/包*24包/箱,,243.2,2024-12-25,2024-12-26 23:08:37
齐善甘露素火腿0%,450g/包*16包/箱,,359.4,2024-12-25,2024-12-26 23:08:37
齐善轻辣卤水素鸡0%,200g/包*24包/箱,,191.2,2024-12-25,2024-12-26 23:08:37
和盛掌中宝(多肉)8%,1.8kg/包*6包/箱,,22.8,2024-12-25,2024-12-26 23:08:37
圣农鸡壳8%,1*7kg/箱,,3.8,2024-12-25,2024-12-26 23:08:37
瑞欣鸡胸架8%,1*10kg/箱,,10.3,2024-12-25,2024-12-26 23:08:37
博润黄焖鸡块8%,1*10kg/箱,,163.4,2024-12-25,2024-12-26 23:08:37
宏丰14只烤鸡0%,1*10kg/箱,,194.8,2024-12-25,2024-12-26 23:08:37
宏丰16只烤鸡0%,1*10kg/箱,,198.4,2024-12-25,2024-12-26 23:08:37
至丰炸凤爪S10%,5kg/包*2包/箱,,336.4,2024-12-25,2024-12-26 23:08:37
荷风口口香0%,1kg/包*10包/箱,,211.8,2024-12-25,2024-12-26 23:08:37
荷风台式鸡柳0%,1*10kg/箱,,211.8,2024-12-25,2024-12-26 23:08:37
丰盛无骨鸡柳0%,2.5kg/包*4包/箱,,162.1,2024-12-25,2024-12-26 23:08:37
康程泰雪花鸡柳0%,900g/包*10包/箱,,141.6,2024-12-25,2024-12-26 23:08:37
佳士博原味鸡米花0%,1kg/包*10包/箱,,177.9,2024-12-25,2024-12-26 23:08:37
佳士博藤椒鸡米花0%,1kg/包*10包/箱,,177.9,2024-12-25,2024-12-26 23:08:37
丰盛鸡米花0%,2.5kg/包*4包/箱,,162.1,2024-12-25,2024-12-26 23:08:37
大成盐酥鸡0%,2.5kg/包*4包/箱,,292.8,2024-12-25,2024-12-26 23:08:37
鲁一霖爆汁盐酥鸡0%,950g/包*10包/箱,,147.6,2024-12-25,2024-12-26 23:08:37
康程泰小酥肉0%,800g/包*10包/箱,,137.9,2024-12-25,2024-12-26 23:08:37
金锣农家小酥肉0%,1kg/包*10包/箱,,215.4,2024-12-25,2024-12-26 23:08:37
佳士博小酥肉0%,800g/包*10包/箱,,177.9,2024-12-25,2024-12-26 23:08:37
大虞锅包肉0%,800g/包*10包/箱,,145.2,2024-12-25,2024-12-26 23:08:37
正大柳叶脆香鸡0%,1kg/包*10包/箱,,136.7,2024-12-25,2024-12-26 23:08:37
正大薯乐鸡块（黑椒）0%,900g/包*10包/箱,,160.9,2024-12-25,2024-12-26 23:08:37
正大薯乐鸡块（原味）0%,900g/包*10包/箱,,152.5,2024-12-25,2024-12-26 23:08:37
立群带骨鸡块0%,2.25kg/包*4包/箱,,127.1,2024-12-25,2024-12-26 23:08:37
佳士博原味鸡块0%,1*12kg/箱,,151.3,2024-12-25,2024-12-26 23:08:37
瑞发德黑椒鸡块0%,2.5kg/包*4包/箱,,164.6,2024-12-25,2024-12-26 23:08:37
瑞发德龙骨脆0%,2.5kg/包*4包/箱,,171.8,2024-12-25,2024-12-26 23:08:37
瑞发德咕咾肉0%,2.5kg/包*4包/箱,,228.7,2024-12-25,2024-12-26 23:08:37
凤祥香脆半翅0%,2.5kg/包*4包/箱,,185.1,2024-12-25,2024-12-26 23:08:37
鲁一霖疯狂半翅0%,1kg*10包/箱,,152.5,2024-12-25,2024-12-26 23:08:37
瑞发德奥尔良翅根0%,2.5kg/包*4包/箱,,211.8,2024-12-25,2024-12-26 23:08:37
瑞发德香辣翅根0%,1kg/包*10包/箱,,232.3,2024-12-25,2024-12-26 23:08:37
瑞发德奥尔良翅中0%,1kg/包*10包/箱,,438,2024-12-25,2024-12-26 23:08:37
瑞发德奥尔良鸡全腿0%,2.5kg/包*4包/箱,,239.6,2024-12-25,2024-12-26 23:08:37
瑞发德奥尔良琵琶腿0%,2.5kg/包*4包/箱,,215.4,2024-12-25,2024-12-26 23:08:37
瑞发德沂蒙小炒肉0%,2.5kg/包*6包/箱,,248.1,2024-12-25,2024-12-26 23:08:37
佳士博奥尔良腿排0%,90g/片*100片/箱,,183.9,2024-12-25,2024-12-26 23:08:37
瑞发德奥尔良腿排0%,1kg/10片/包*10包/箱,,257.7,2024-12-25,2024-12-26 23:08:37
惠发奥尔良胸排0%,95g/片*100片/箱,,188.8,2024-12-25,2024-12-26 23:08:37
大成奥尔良鸡扒0%,2.2kg/包*4包/箱,,213,2024-12-25,2024-12-26 23:08:37
赛星奥尔良腿排0%,1*10kg/箱,,233.5,2024-12-25,2024-12-26 23:08:37
康鲜U家黑椒脆皮鸡扒0%,100g/片*100片/箱,,261.4,2024-12-25,2024-12-26 23:08:37
瑞发德黑椒鸡扒0%,100g/片*100片/箱,,202.1,2024-12-25,2024-12-26 23:08:37
千般就黑椒脆皮鸡扒0%,1kg/包*10包/箱,,274.7,2024-12-25,2024-12-26 23:08:37
千般就原味脆皮鸡扒0%,1kg/包*10包/箱,,274.7,2024-12-25,2024-12-26 23:08:37
佳士博藤椒大鸡排0%,95g/片*100片/箱,,216.6,2024-12-25,2024-12-26 23:08:37
佳士博香辣鸡排0%,90g/片*100片/箱,,187.6,2024-12-25,2024-12-26 23:08:37
佳士博咔滋脆鸡排0%,90g/片*100片/箱,,205.7,2024-12-25,2024-12-26 23:08:37
立群咔滋脆鸡排(原味)0%,1kg/包*10包/箱,,192.4,2024-12-25,2024-12-26 23:08:37
瑞发德黄金脆鸡排0%,100g/个*100个/箱,,215.4,2024-12-25,2024-12-26 23:08:37
大虞炫酷鸡排0%,80g/片*100片/箱,,191.2,2024-12-25,2024-12-26 23:08:37
益客川香鸡柳0%,50g/串*100串/箱,,107.7,2024-12-25,2024-12-26 23:08:37
益客多骨肉相连0%,950g/20串*10包/箱,,208.1,2024-12-25,2024-12-26 23:08:37
瑞发德糖醋里脊0%,2.5kg/包*4包/箱,,181.5,2024-12-25,2024-12-26 23:08:37
千般就黑椒蝴蝶鸡腿仔0%,1*10kg/箱,,236,2024-12-25,2024-12-26 23:08:37
千般就蒜香蝴蝶鸡肶仔0%,1kg*10包/箱,,236,2024-12-25,2024-12-26 23:08:37
春冠二级光鹅8%,抄码,,16.1,2024-12-25,2024-12-26 23:08:37
圣沣鸭腿块0%,1*10kg/箱,,112.5,2024-12-25,2024-12-26 23:08:37
佳合鸭血0%,300g/盒*20盒/箱,,19.8,2024-12-25,2024-12-26 23:08:37
众客鸭血0%,300g/盒*20盒/箱,,19.8,2024-12-25,2024-12-26 23:08:37
千腊村原味烟鸭胸肉0%,1*10kg/箱,,265,2024-12-25,2024-12-26 23:08:37
千腊村黑椒烟鸭胸肉0%,1*10kg/箱,,265,2024-12-25,2024-12-26 23:08:37
志杨味皇爆炒肉片0%,2.5kg/包*4包/箱,,174.2,2024-12-25,2024-12-26 23:08:37
赐隆爆炒肉片(牛肉风味）0%,2.5kg/包*4包/箱,,147.6,2024-12-25,2024-12-26 23:08:37
赐隆爆炒肉片(猪肉风味)0%,2.5kg/包*4包/箱,,147.6,2024-12-25,2024-12-26 23:08:37
赐隆爆炒肉片15kg0%,2.5kg/包*6包/箱,,255.3,2024-12-25,2024-12-26 23:08:37
赐隆麻辣肉片0%,2.5kg/包*4包/箱,,187.6,2024-12-25,2024-12-26 23:08:37
惠发蚝油肉片0%,1kg/包*10包/箱,,156.1,2024-12-25,2024-12-26 23:08:37
惠发黑椒柳条0%,1kg/包*10包/箱,,156.1,2024-12-25,2024-12-26 23:08:37
纳佰味鲜味鸭丁0%,1kg/包*10包/箱,,238.4,2024-12-25,2024-12-26 23:08:37
纳佰味黑椒鸭柳0%,1kg/包*10包/箱,,238.4,2024-12-25,2024-12-26 23:08:37
伟红八支蒜香骨0%,500g/包*20包/箱,,652.2,2024-12-25,2024-12-26 23:08:37
伟红十支蒜香骨（精装箱）0%,500g/包*20包/箱,,665.5,2024-12-25,2024-12-26 23:08:37
伟红蒜香骨（条）0%,2.5kg/包*4包/箱,,523.9,2024-12-25,2024-12-26 23:08:37
